Study_Code,Sample_ID,Date,Stream_Name,City,State_or_Province,Country,US_Latitude_dec.deg,US_Longitude_dec.deg
WHONDRS_S19S,S19S_0066,18-Aug-19,Rio Grande,Albuquerque,New Mexico,USA,35.198601,-106.643074
WHONDRS_S19S,S19S_0067,12-Aug-19,Augusta Creek,Hickory Corners,Michigan,USA,42.39193,-85.35402
WHONDRS_S19S,S19S_0068,12-Aug-19,Watershed 01 stream,Blue River,Oregon,USA,44.207269,-122.257915
WHONDRS_S19S,S19S_0069,12-Aug-19,North Fork Caspar Creek ,Ft. Bragg,California,USA,39.362343,-123.734848
WHONDRS_S19S,S19S_0070,12-Aug-19,South Fork Caspar Creek ,Ft. Bragg,California,USA,39.339682,-123.752011
WHONDRS_S19S,S19S_0071,12-Aug-19,Gordon Creek,Nederland,Colorado,USA,40.0129961,-105.4588818
WHONDRS_S19S,S19S_0072,12-Aug-19,Sawmill Brook,Burlington,Massachusettes,USA,42.5233858,-71.1854501
WHONDRS_S19S,S19S_0073,12-Aug-19,Cart Creek,Newbury,Massachusettes,USA,42.7696832,-70.9168932
WHONDRS_S19S,S19S_0074,5-Aug-19,Columbia,Richland,Washington,USA,46.376327,-119.272955
WHONDRS_S19S,S19S_0075,6-Aug-19,Columbia,Richland,Washington,USA,46.694858,-119.465706
WHONDRS_S19S,S19S_0076,6-Aug-19,Columbia River,Richland,Washington,USA,46.679398,-119.462645
WHONDRS_S19S,S19S_0077,18-Aug-19,Cache La Poudre,Fort Collins,Colorado,USA,40.664703,-105.224786
WHONDRS_S19S,S19S_0078,6-Sep-19,Little Wolf Creek,Tyee,Oregon,USA,43.43138889,-123.5855556
WHONDRS_S19S,S19S_0079,6-Sep-19,Umpqua,Elkton,Oregon,USA,43.6367,-123.5719
WHONDRS_S19S,S19S_0080,20-Aug-19,Rio Grande,South Valley,New Mexico,USA,34.950903,-106.681382
WHONDRS_S19S,S19S_0081,19-Aug-19,Northeast Branch of Anacostia,Riverdale,Maryland,USA,38.9603293,-76.9259674
WHONDRS_S19S,S19S_0082,19-Aug-19,Muddy Creek,Edgewater,Maryland,USA,38.8749661,-76.5464942
WHONDRS_S19S,S19S_0083,19-Aug-19,Sangamon,Fisher,Illinois,USA,40.31083,-88.3227
WHONDRS_S19S,S19S_0084,19-Aug-19,Watershed 3 stream,North Woodstock,New Hampshire,USA,43.954722,-71.722778
WHONDRS_S19S,S19S_0085,19-Aug-19,Mores Creek,Idaho City,Idaho,USA,43.64819,-115.98891
WHONDRS_S19S,S19S_0086,19-Aug-19,Red Butte Creek,Salt Lake City,Utah,USA,40.7801,-111.8054
WHONDRS_S19S,S19S_0087,21-Aug-19,Dobson Creek,Boise,Idaho,USA,43.1231912,-116.7745057
WHONDRS_S19S,S19S_0089,26-Aug-19,Stroubles Creek,Blacksburg,Virginia,USA,37.21014,-80.44513
WHONDRS_S19S,S19S_0090,17-Aug-19,Cobb Mill Creek,Oyster,Virginia,USA,37.291396,-75.930807
WHONDRS_S19S,S19S_0091,25-Aug-19,Copper River,Cordova,Alaska,USA,60.520913,-144.837484
WHONDRS_S19S,S19S_0092,3-Sep-19,Blythe,Birmingham,Not_Provided,UK,52.419804,-1.704362
WHONDRS_S19S,S19S_0093,19-Aug-19,Wood Brook,Stafford,Not_Provided,UK,52.800667,-2.304694
WHONDRS_S19S,S19S_0094,19-Aug-19,Icacos,Naguabo,Puerto Rico,USA,18.275889,-65.7853037
WHONDRS_S19S,S19S_0096,3-Sep-19,Orco ,San Benigno Canavese,Not_Provided,Italy,45.24768,7.8043267
WHONDRS_S19S,S19S_0097,18-Aug-19,Logan,Logan,Utah,USA,41.720744,-111.88642
WHONDRS_S19S,S19S_0098,18-Aug-19,Logan,Logan,Utah,USA,41.950373,-111.580465
WHONDRS_S19S,S19S_0099,19-Aug-19,Great Miami,Cincinnati,Ohio,USA,39.2386771,-84.7123967
WHONDRS_S19S,S19S_0100,20-Aug-19,East River,Crested Butte,Colorado,USA,38.922389,-106.95145
